GetCurrentTime	0x08103A80
GetCurrentTong	0x0811AD30
GetDefend	0x08112090
GetDelDupedAllInOne	0x080FBB70
GetDelayCatchTime	0x0814E6C0
GetDex	0x08111960
GetDiceIncome	0x080FBE70
GetDisabledFuncFlag	0x08126520
GetDupedDealLevel	0x080FBBA0
GetDynamicShopID	0x08129240
GetEnergy	0x08107DE0
GetEng	0x08111A30
GetEnhanceExpRate	0x081094A0
GetEquipMaxStoneNum	0x080FC800
GetEventTask	0x081742C0
GetEventTaskCount	0x08174430
GetExp	0x08117860
GetExpPercent	0x08121090
GetExtPoint	0x0810FA90
GetFaction	0x0811A5D0
GetFactionNumber	0x08113C60
GetFailedItem	0x08113340
GetFeeType	0x0811B460
GetFightState	0x081113C0
GetFireR	0x081130A0
GetFirstPlayerAtSW	0x08107680
GetFirstPlayerAtServer	0x08101CF0
GetFusionInEquipInfo	0x0810A6F0
GetGameTime	0x0810F3A0
GetGateWayClientID	0x080FBC60
GetGiveItemUnit	0x08114E60
GetGiveItemUnitWithPos	0x08114D90
GetGlbMissionV	0x080FD6C0
GetGlbValue	0x080FE270
GetGlobalTradeFlag	0x080FBB40
GetGlodEqIndex	0x080FEF90
GetGoldCoinCount	0x08117790
GetIP	0x0810F710
GetInfo	0x0810F7A0
GetIsCheckNpcBarrier	0x080FBC90
GetItemAllParams	0x08102D20
GetItemBTLMaxStackCount	0x08127B70
GetItemBTLName	0x08127A70
GetItemBelong	0x080FEC30
GetItemBillType	0x0810DD30
GetItemBindState	0x080FE790
GetItemCmd	0x0811DAA0
GetItemCount	0x0811D6E0
GetItemCountEx	0x0811D830
GetItemDiceItemInfo	0x081C04A0
GetItemDicePlayerList	0x081C0380
GetItemDiceRollInfo	0x081C0B80
GetItemDiceState	0x081C05B0
GetItemExchangeValue	0x080FCF90
GetItemFortuneValue	0x080FCF00
GetItemGenTime	0x080FE820
GetItemHeight	0x080FED90
GetItemIndexBydwID	0x081017C0
GetItemLevel	0x080FF0D0
GetItemLife	0x0811CB00
GetItemMagicAttrib	0x080FD7F0
GetItemMagicDesc	0x0811E5B0
GetItemMagicLevel	0x08100430
GetItemMaxStackCount	0x080FD1A0
GetItemName	0x081005D0
GetItemParam	0x080FECC0
GetItemPrice	0x08127C60
GetItemProp	0x080FF260
GetItemQuality	0x080FEFB0
GetItemSeries	0x080FF040
GetItemStackCount	0x080FD250
GetItemValue	0x080FC670
GetItemWidth	0x080FEE20
GetJoinTongTime	0x08121100
GetLastAddFaction	0x0811A4C0
GetLastBreakTime	0x080FCCF0
GetLastDamageNpc	0x0810C0B0
GetLastDiagNpc	0x0810C5E0
GetLastDlgNpc	0x0810C5E0
GetLastExchangeTime	0x0810B9E0
GetLastFactionNumber	0x0810E6D0
GetLastLogoutTime	0x0810B870
GetLastOfflineTime	0x0810B970
GetLeadExp	0x08111D90
GetLeadLevel	0x0810FF00,0x08111D20
GetLevel	0x081111E0
GetLevelExp	0x08101110
GetLevelUpExp	0x08108830
GetLife	0x081124D0
GetLightR	0x08112E00
GetLocalDate	0x0812A140
GetLocalTime	0x08103850
GetLoginTime	0x0810B760
GetLogoutRV	0x081104A0
GetLoop	0x080FBDF0
GetLucky	0x08111B80
GetMSIdxGroup	0x08135CF0
GetMSPlayerCount	0x081351F0
GetMSRestTime	0x081361C0
GetMagicPoint	0x0810FE10
GetMana	0x08112270
GetMapDropRateFile	0x080FFBF0
GetMapInfoFile	0x081024E0
GetMapNpcWithName	0x08102BC0
GetMapParam	0x080FE390
GetMapPlayerList	0x08106C80
GetMapTrapCount	0x08102A30
GetMapType	0x080FE5A0
GetMaskFeature	0x080FDDC0
GetMateName	0x08110340
GetMaxDurability	0x080FD5C0
GetMaxEquipWishValue	0x080FCD80
GetMaxResist	0x08108C00
GetMissionS	0x08107160
GetMissionV	0x081072F0
