uid	offset	size	flag	csize	path
0A8745B7	11878984	2380	32	2301	\Spr\item\equip\bangle\obj-bangle119.spr
0A8BDB22	11881285	10567	32	9092	\spr\npcres\woman\FM_HD_131_HI01.spr
0A8C623A	11890377	61566	32	51712	\spr\npcres\man\MA_HR_139_JP01.spr
0ABDF02D	11942089	99391	32	85207	\spr\npcres\man\MA_RH_129_MG05.spr
0ACBD9C8	12027296	20828	32	17737	\spr\npcres\woman\FM_HD_153_IJ06.spr
0ADC3003	12045033	15656	32	13535	\spr\npcres\man\MA_HD_137_IJ03.spr
0AF8509C	12058568	122155	32	88057	\spr\npcres\man\MA_RW_192_ST02.spr
0B0DC66B	12146625	46351	32	38690	\spr\npcres\man\MA_LH_140_MG01.spr
0B11868E	12185315	40485	32	33978	\spr\npcres\woman\FM_HR_130_AT07.spr
0B1E9D9B	12219293	82934	32	69447	\spr\npcres\man\MA_RH_129_AT04.spr
0B27282F	12288740	226180	32	180688	\spr\npcres\man\MA_RW_185_ST05.spr
0B2B54E1	12469428	30525	32	25401	\spr\npcres\man\MA_HD_139_HA01.spr
0B437878	12494829	68212	32	58784	\spr\npcres\man\MA_RH_137_JP01.spr
0B701136	12553613	12052	32	8790	\spr\npcres\woman\FM_RH_131_IJ03.spr
0B707C42	12562403	128327	32	111377	\spr\npcres\man\MA_RW_196_WK02.spr
0B7A5028	12673780	47486	32	39853	\spr\npcres\man\MA_HR_140_DE01.spr
0B7CA406	12713633	56743	32	41740	\spr\npcres\woman\FM_LH_132_ST03.spr
0B9E628F	12755373	26237	32	20746	\spr\npcres\woman\FM_HD_133_MG04.spr
0BA36F75	12776119	265660	32	225492	\spr\npcres\man\MA_BD_132_DE04.spr
0BC279BC	13001611	30309	32	23288	\spr\npcres\woman\FM_LH_134_AT01.spr
0BC41668	13024899	80903	32	70578	\spr\npcres\man\MA_HR_138_MG01.spr
0BCA6E65	13095477	42549	32	34212	\spr\npcres\woman\FM_HR_130_MG04.spr
0BD16FA2	13129689	190329	32	153168	\spr\npcres\woman\FM_BD_131_AT03.spr
0BDD30A3	13282857	91594	32	80124	\spr\npcres\man\MA_LH_150_DE04.spr
0BEA8B2B	13362981	16715	32	13747	\spr\npcres\woman\FM_LH_129_DE04.spr
0BF4BBBA	13376728	29940	32	25512	\spr\npcres\woman\FM_HR_130_HR01.spr
0BF4F8D6	13402240	26395	32	21614	\spr\npcres\woman\FM_LH_141_AT07.spr
0C0AE0A7	13423854	102543	32	86262	\spr\npcres\man\MA_RH_129_AT02.spr
0C1669F9	13510116	250995	32	210587	\spr\npcres\woman\FM_BD_129_HD01.spr
0C19C720	13720703	36078	32	26652	\spr\npcres\man\MA_HD_128_RD01.spr
0C2A8FA6	13747355	81292	32	65068	\spr\npcres\woman\FM_RW_184_HR01.spr
0C4523FC	13812423	134603	32	96503	\spr\npcres\man\MA_RH_130_RD01.spr
0C53B99C	13908926	95889	32	75892	\spr\npcres\woman\FM_BD_143_IJ04.spr
0C54AF5E	13984818	49166	32	40267	\spr\npcres\woman\FM_RW_292_HA02.spr
0C5E7588	14025085	11789	32	10062	\spr\npcres\woman\FM_HD_153_IJ04.spr
0C7D65F5	14035147	19906	32	15859	\spr\npcres\man\MA_HD_150_ZZ01.spr
0C87D0C6	14051006	74263	32	54503	\spr\npcres\woman\FM_LH_132_ST01.spr
0C8D1FE6	14105509	23918	32	19663	\spr\npcres\man\MA_RH_137_HI01.spr
0C8FF96D	14125172	264894	32	204061	\spr\npcres\man\MA_RW_189_WK03.spr
0C960B60	14329233	298891	32	244475	\spr\npcres\man\MA_BD_131_WK04.spr
0C9A8DF6	14573708	15585	32	12493	\spr\npcres\woman\FM_RH_131_IJ01.spr
0C9F7271	14586201	185044	32	156467	\spr\npcres\man\MA_BD_132_DE02.spr
0CA4334E	14742668	41408	32	34211	\spr\npcres\woman\FM_HR_130_AT05.spr
0CB197C5	14776879	28248	32	22647	\spr\npcres\man\MA_HD_128_ST06.spr
0CC907AF	14799526	64583	32	56791	\spr\npcres\man\MA_LH_150_DE02.spr
0CEDD430	14856317	31601	32	26095	\spr\npcres\man\MA_HD_130_MG04.spr
0CEE0FE7	14882412	136185	32	121391	\spr\npcres\man\MA_LW_187_HM01.spr
0CF450A5	15003803	168122	32	129469	\spr\npcres\woman\FM_BD_143_HR01.spr
0CF67BBB	15133272	19123	32	15560	\spr\npcres\woman\FM_HD_153_HR01.spr
0D1F1496	15148832	26810	32	20888	\spr\npcres\woman\FM_LH_141_AT05.spr
0D209F4F	15169720	26410	32	20221	\spr\npcres\woman\FM_HD_133_MG02.spr
0D2191A0	15189941	23805	32	16889	\spr\npcres\man\MA_HD_150_ST09.spr
0D276A2D	15206830	50783	32	41192	\spr\npcres\man\MA_RW_292_HA02.spr
0D49CB48	15248022	19051	32	14955	\spr\npcres\woman\FM_RH_134_ST05.spr
0D4EF1AE	15262977	34722	32	28615	\spr\npcres\man\MA_HD_130_AT03.spr
0D5188BE	15291592	65588	32	57733	\spr\npcres\man\MA_RH_135_DE04.spr
0D5C9A25	15349325	40768	32	33368	\spr\npcres\woman\FM_HR_130_MG02.spr
0D7B9862	15382693	182552	32	145633	\spr\npcres\woman\FM_BD_131_AT01.spr
0D7D27EB	15528326	27220	32	21098	\spr\npcres\woman\FM_LH_129_DE02.spr
0DA942A5	15549424	109607	32	58752	\spr\npcres\woman\FM_RW_195_ST04.spr
0DAE50D5	15608176	236056	32	172594	\spr\npcres\man\MA_BD_131_ST05.spr
0DBBD8AE	15780770	76330	32	63428	\spr\npcres\man\MA_RH_132_IJ04.spr
0DC1E272	15844198	198742	32	163660	\spr\npcres\man\MA_BD_137_RN02.spr
0DC7C535	16007858	103527	32	71437	\spr\npcres\woman\FM_RH_132_RD01.spr
0DE9F41C	16079295	48686	32	40556	\spr\npcres\man\MA_HD_138_AT06.spr
0DEA41D1	16119851	74838	32	63987	\spr\npcres\man\MA_RH_138_HD01.spr
0DEF2479	16183838	78859	32	62277	\spr\npcres\woman\FM_RH_130_JP01.spr
0DF022B3	16246115	76092	32	63566	\spr\npcres\man\MA_HR_135_AT09.spr
0DF9D83A	16309681	38670	32	29696	\spr\npcres\man\MA_HD_135_ST02.spr
0E1578F3	16339377	257828	32	217265	\spr\npcres\man\MA_BD_132_DE03.spr
0E41AEB6	16556642	34266	32	28489	\spr\npcres\woman\FM_LH_141_AT06.spr
0E470A21	16585131	79790	32	69832	\spr\npcres\man\MA_LH_150_DE03.spr
0E6B296F	16654963	22289	32	15667	\spr\npcres\woman\FM_HD_133_MG03.spr
0E7BDAB2	16670630	39339	32	33561	\spr\npcres\man\MA_HD_130_MG05.spr
0E802DFA	16704191	171482	32	145076	\spr\npcres\man\MA_BD_139_ZZ01.spr
0E83B6B2	16849267	289150	32	192273	\spr\npcres\man\MA_BD_131_RD01.spr
0E845A35	17041540	97385	32	64443	\spr\npcres\woman\FM_RW_188_ST05.spr
0E87D445	17105983	33521	32	27616	\spr\npcres\woman\FM_HR_130_MG03.spr
0EA0710B	17133599	16829	32	13872	\spr\npcres\woman\FM_LH_129_DE03.spr
0EAED582	17147471	186293	32	150777	\spr\npcres\woman\FM_BD_131_AT02.spr
0EBA90CD	17298248	239017	32	199779	\spr\npcres\man\MA_BD_131_HA01.spr
0EC4E420	17498027	29496	32	24876	\spr\npcres\man\MA_HD_130_AT04.spr
0ECA1436	17522903	123097	32	83089	\spr\npcres\man\MA_LH_138_ST01.spr
0EEFBF30	17605992	47375	32	42706	\spr\npcres\man\MA_RH_135_DE05.spr
0EFC0568	17648698	18380	32	11235	\spr\npcres\woman\FM_RH_134_ST06.spr
0F12B788	17659933	186876	32	146390	\spr\npcres\woman\FM_RW_186_RD01.spr
0F244757	17806323	237700	32	169278	\spr\npcres\man\MA_BD_131_ST06.spr
0F2B4D4B	17975601	191148	32	150444	\spr\npcres\man\MA_RW_186_HM01.spr
0F4C896D	18126045	43542	32	36560	\spr\npcres\woman\FM_LH_133_RN01.spr
0F5D11E7	18162605	55516	32	42635	\spr\npcres\woman\FM_HR_143_WK03.spr
0F5F8468	18205240	99936	32	78041	\spr\npcres\woman\FM_RW_193_RD01.spr
0F5FE8F4	18283281	197967	32	164541	\spr\npcres\man\MA_BD_137_RN03.spr
0F67FA9E	18447822	36670	32	30067	\spr\npcres\man\MA_HD_138_AT07.spr
0F77CEBC	18477889	28727	32	22788	\spr\npcres\man\MA_HD_135_ST03.spr
0F7A3713	18500677	20462	32	15398	\spr\npcres\woman\FM_LH_141_MG03.spr
0F85EA99	18516075	36796	32	28890	\spr\npcres\woman\FM_HD_135_HA02.spr
0F8F9F38	18544965	36337	32	28884	\spr\npcres\man\MA_HD_139_WK03.spr
0F9094BA	18573849	32471	32	27204	\spr\npcres\man\MA_RH_140_AT07.spr
0F9175B1	18601053	201080	32	163412	\spr\npcres\woman\FM_BD_134_DE01.spr
0F978991	18764465	108409	32	90105	\spr\npcres\woman\FM_RW_197_AT03.spr
0F9A83CD	18854570	28873	32	23776	\spr\npcres\man\MA_LH_140_RN03.spr
